"datetime","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","sub_metering_4"
"12/16/2006","1209.176","34.922","93552.53","5180.8","0","546","4926","14680.9333193"
"12/17/2006","3390.46","226.006","345725.32","14398.6","2033","4187","13341","36946.666732"
"12/18/2006","2203.826","161.792","347373.64","9247.2","1063","2621","14018","19028.433281"
"12/19/2006","1666.194","150.942","348479.01","7094","839","7602","6197","13131.9000435"
"12/20/2006","2225.748","160.998","348923.61","9313","0","2648","14063","20384.8000114"
"12/21/2006","1723.288","144.434","347096.41","7266.4","1765","2692","10456","13808.4666967"
"12/22/2006","2341.338","186.906","347305.75","9897","3151","350","11131","24390.3000432"
"12/23/2006","4773.386","221.47","345795.95","20200.4","2669","425","14726","61736.4333858"
"12/24/2006","2550.012","149.9","348029.91","11002.2","1703","5082","6891","28824.1999673"
"12/25/2006","2743.12","240.28","350495.9","11450.2","6620","1962","5795","31341.6666291"
"12/26/2006","3934.11","165.102","347940.63","16341","1086","2533","14979","46970.500071"
"12/27/2006","1528.76","178.902","351025","6505.2","0","314","6976","18189.3333015"
"12/28/2006","2072.638","208.876","350306.4","8764.2","2207","4419","9176","18741.9666063"
"12/29/2006","3174.392","196.394","346854.68","13350.8","1252","5162","11329","35163.5332927"
"12/30/2006","2796.108","312.142","346377.15","11952.6","3072","7893","12516","23120.8000451"
"12/31/2006","3494.196","150.852","345451.07","14687.4","0","347","6502","51387.6000018"
"1/1/2007","2749.004","148.166","345785.73","11400.4","0","352","5880","39584.7332752"
"1/2/2007","1269.236","190.342","348399.04","5348.2","0","348","6562","14243.9333455"
"1/3/2007","1014.054","196.728","350722.21","4340.2","0","344","4765","11791.900019"
"1/4/2007","3259.412","202.302","345240.43","13648.6","1051","7597","10896","34779.5332894"
"1/5/2007","2713.364","173.154","346313.9","11354.6","1483","379","7602","35758.733384"
"1/6/2007","1508.378","192.188","345129.2","6543.2","1336","402","5678","17723.6333396"
"1/7/2007","2447.62","246.074","346899.58","10487","1987","8177","12810","17819.6666662"
"1/8/2007","2241.36","207.568","344990.81","9434.4","0","467","17547","19342.0000013"
"1/9/2007","1869.054","207.248","346302.03","7950.4","1688","4267","9790","15405.8999564"
"1/10/2007","2154.8","228.452","347079.53","9155.2","771","4456","11012","19674.3333163"
"1/11/2007","2255.194","230.02","347264.19","9588","1378","2170","12415","21623.5666732"
"1/12/2007","1461.296","199.14","347815.02","6205.2","0","439","8276","15639.9333304"
"1/13/2007","3186.814","290.736","344568.4","13612.4","7806","2975","11341","30991.5666556"
"1/14/2007","3009.442","227.278","343904.48","12912.2","1777","4215","12975","31190.3667211"
"1/15/2007","2148.678","174.86","347386.91","9016.6","1099","2239","15163","17310.2999893"
"1/16/2007","1686.404","185.428","348400.45","7165.4","2063","644","6583","18816.7333279"
"1/17/2007","2847.688","200.752","347047.56","11928.8","3500","5737","16064","22160.466657"
"1/18/2007","1821.462","177.712","346886.78","7693.2","0","336","13491","16530.6999898"
"1/19/2007","1480.44","170.052","345831.76","6301.8","2103","330","7172","15068.9999604"
"1/20/2007","3133.732","238.362","343969.16","13461.2","4324","5222","11440","31242.8667284"
"1/21/2007","3407.262","229.736","344114.09","14674.6","10346","5567","11599","29275.700016"
"1/22/2007","2180.494","168.642","347908.51","9151.6","1054","2983","11361","20943.5667026"
"1/23/2007","1777.64","138.28","349578.08","7575.6","0","1064","5061","23502.3333195"
"1/24/2007","2987.854","178.06","347699.08","12576.4","3464","2480","11744","32109.5666041"
"1/25/2007","1596.344","144.16","350531.08","6666.2","1158","262","11239","13946.7333649"
"1/26/2007","1617.972","142.902","349591.38","6798.8","1163","261","8238","17304.2000432"
"1/27/2007","2044.072","148.242","347927.86","8567.8","1170","3896","12374","16627.8666549"
"1/28/2007","3091.588","153.426","346039.26","13149","3466","3998","12063","31999.466676"
"1/29/2007","1982.664","165.696","346938.62","8336","1123","294","15254","16373.3999829"
"1/30/2007","1707.798","180.934","348250.86","7240.6","1123","1424","8149","17767.3000063"
"1/31/2007","2363.752","185.988","345486.43","9970","0","5950","15052","18393.8667504"
"2/1/2007","1824.76","150.264","346164.68","7678.8","1170","386","13145","15711.6666979"
"2/2/2007","1667.736","139.542","346081.52","7014","0","356","11338","16101.6000156"
"2/3/2007","4029.722","245.824","344030.68","17015","4746","4573","17834","40009.0332775"
"2/4/2007","3595.94","186.494","345072","15214.2","3391","4597","14472","37472.3333354"
"2/5/2007","1645.28","147.228","346766.85","6941.4","896","2564","7849","16112.3333279"
"2/6/2007","1273.48","142.566","347420.39","5431.6","1185","405","4517","15117.6666643"
"2/7/2007","2328.018","177.708","347255.56","9780","3299","3513","11986","20002.3000318"
"2/8/2007","1801.414","138.896","348188.12","7557.6","2226","366","10157","17274.5666375"
"2/9/2007","1620.198","158.066","348106.24","6807.2","0","3045","9770","14188.2999898"
"2/10/2007","2829.328","192.974","345653.03","11957.4","5071","2831","14405","24848.4666851"
"2/11/2007","3571.228","204.314","344888.85","15158.6","2430","4765","13114","39211.4666653"
"2/12/2007","1877.61","136.704","345741.84","7925","2227","399","11517","17150.4999843"
"2/13/2007","1414.546","134.678","347280.27","5967","0","2828","6256","14491.7666781"
"2/14/2007","2498.672","202.506","346140.56","10533.8","3295","3793","11579","22977.5333302"
