Education,JoiningYear,City,Projects_Completed,Age,Gender,EverBenched,Experience,LeaveOrNot,salary
Bachelors,2017,Bangalore,3,34,Male,No,0,0,7420
Bachelors,2013,Pune,1,28,Female,No,3,1,8960
Bachelors,2014,New Delhi,3,38,Female,No,2,0,9960
Masters,2016,Bangalore,3,27,Male,No,5,1,7500
Masters,2017,Pune,3,24,Male,Yes,2,1,7420
Bachelors,2016,Bangalore,3,22,Male,No,0,0,7500
Bachelors,2015,New Delhi,3,38,Male,No,0,0,8580
Bachelors,2016,Bangalore,3,34,Female,No,2,1,16200
Bachelors,2016,Pune,3,23,Male,No,1,0,8100
Masters,2017,New Delhi,2,37,Male,No,2,0,5750
Masters,2012,Bangalore,3,27,Male,No,5,1,13200
Bachelors,2016,Pune,3,34,Male,No,3,0,6000
Bachelors,2018,Pune,3,32,Male,Yes,5,1,6550
Bachelors,2016,Bangalore,3,39,Male,No,2,0,3500
Bachelors,2012,Bangalore,3,37,Male,No,4,0,7800
Bachelors,2017,Bangalore,1,29,Male,No,3,0,6000
Bachelors,2014,Bangalore,3,34,Female,No,2,0,6600
Bachelors,2014,Pune,3,34,Male,No,4,0,8500
Bachelors,2015,Pune,2,30,Female,No,0,1,4600
Bachelors,2016,New Delhi,2,22,Female,No,0,1,6420
Bachelors,2012,Bangalore,3,37,Male,No,0,0,4320
Masters,2017,New Delhi,2,28,Male,No,4,0,7155
Bachelors,2017,New Delhi,2,36,Male,No,3,0,8050
Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,4560
Bachelors,2017,Bangalore,3,29,Male,No,4,0,8800
Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,6540
Bachelors,2016,Bangalore,3,37,Male,No,2,0,6000
Bachelors,2015,Bangalore,3,23,Male,No,1,0,8875
Bachelors,2013,Pune,2,31,Female,No,2,1,7950
Masters,2017,New Delhi,2,30,Female,No,2,0,5500
PHD,2013,New Delhi,3,25,Male,No,3,0,7475
Bachelors,2014,Bangalore,3,23,Male,No,1,0,7000
Bachelors,2018,Bangalore,3,26,Male,No,4,1,4880
Bachelors,2016,Bangalore,3,40,Male,No,5,0,5960
Bachelors,2017,Pune,2,37,Female,No,0,1,6840
Bachelors,2014,Bangalore,1,30,Female,No,3,0,7000
Bachelors,2012,New Delhi,3,29,Male,No,3,0,7482
Bachelors,2018,New Delhi,2,34,Female,No,0,1,9000
Bachelors,2017,Pune,2,29,Female,No,2,1,6000
Bachelors,2014,Pune,3,30,Male,Yes,4,0,6000
Bachelors,2015,Bangalore,3,36,Male,No,1,0,6550
Masters,2017,New Delhi,2,23,Male,No,1,0,6360
Bachelors,2013,Bangalore,3,30,Male,No,3,1,6480
Bachelors,2014,Bangalore,3,36,Male,No,0,0,6000
Bachelors,2015,Pune,3,39,Male,No,4,0,6000
Bachelors,2014,Bangalore,3,23,Female,No,1,0,6000
PHD,2012,New Delhi,3,27,Male,No,5,0,6000
Masters,2013,New Delhi,3,35,Male,No,2,0,6600
Masters,2017,New Delhi,2,34,Male,No,0,0,4300
Bachelors,2013,Bangalore,3,30,Female,No,1,0,7440
PHD,2017,New Delhi,3,34,Male,No,2,0,7440
Bachelors,2015,Pune,2,26,Female,No,4,1,6325
Bachelors,2016,Bangalore,3,34,Female,No,0,0,6000
Bachelors,2014,Bangalore,3,31,Female,Yes,5,0,5150
Bachelors,2017,New Delhi,3,31,Female,Yes,5,0,6000
PHD,2013,New Delhi,3,28,Male,No,2,0,6000
Bachelors,2016,Bangalore,3,38,Male,No,2,0,11440
Masters,2014,Pune,3,39,Female,No,2,0,9000
Bachelors,2013,Pune,3,32,Male,No,4,0,7680
Masters,2017,Pune,2,36,Male,No,2,1,6000
Masters,2013,New Delhi,3,29,Male,No,3,0,6000
Bachelors,2015,Bangalore,3,30,Male,No,5,0,8880
PHD,2013,Bangalore,2,25,Male,No,3,1,6240
Bachelors,2014,Pune,1,22,Female,No,0,1,6360
Bachelors,2016,Bangalore,3,34,Male,No,4,0,11175
Bachelors,2018,Bangalore,3,40,Male,No,1,1,8880
PHD,2013,Bangalore,3,26,Male,No,4,0,13200
Bachelors,2014,New Delhi,3,28,Male,No,0,0,7700
Bachelors,2015,Bangalore,3,24,Female,No,2,0,6000
Masters,2017,Bangalore,3,40,Female,No,2,1,12090
Bachelors,2018,Bangalore,3,23,Female,No,1,1,4000
Masters,2017,Bangalore,3,31,Male,No,4,0,6000
Bachelors,2014,Pune,3,25,Female,No,3,0,5020
Bachelors,2014,Bangalore,1,27,Male,No,5,0,6600
Masters,2017,New Delhi,2,25,Female,No,3,1,4040
Bachelors,2015,Bangalore,3,40,Male,No,0,1,4260
Bachelors,2014,Bangalore,1,23,Female,No,1,0,6420
Bachelors,2017,Bangalore,3,23,Female,No,1,0,6500
Bachelors,2012,Bangalore,3,39,Male,No,1,0,5700
PHD,2015,New Delhi,1,37,Male,No,1,0,6000
Bachelors,2017,Pune,3,38,Male,No,2,0,6000
Bachelors,2013,Bangalore,3,31,Female,No,0,1,4000
Bachelors,2016,Bangalore,3,38,Male,No,5,0,10500
Bachelors,2017,Bangalore,3,25,Female,No,3,0,6000
Bachelors,2015,Bangalore,3,27,Female,Yes,5,1,3760
Bachelors,2016,Pune,2,36,Male,No,0,1,8250
Bachelors,2017,Pune,2,27,Female,No,5,1,6670
Masters,2015,Pune,2,32,Female,No,4,0,3960
Bachelors,2014,Bangalore,3,28,Male,No,4,0,7410
Masters,2012,New Delhi,3,32,Male,No,2,0,8580
Bachelors,2018,Bangalore,3,30,Male,No,0,1,5000
Bachelors,2015,New Delhi,3,22,Male,No,0,0,6750
Bachelors,2017,New Delhi,2,34,Female,No,5,0,4800
Masters,2013,New Delhi,3,36,Male,No,2,0,7200
Bachelors,2014,Bangalore,3,39,Male,No,3,1,6000
PHD,2018,Bangalore,3,26,Male,No,4,1,4100
Bachelors,2016,Bangalore,3,31,Female,No,0,0,9000
Bachelors,2014,Bangalore,3,27,Male,No,5,1,6400
Bachelors,2014,Bangalore,3,29,Female,No,0,0,6600
Bachelors,2015,Bangalore,3,24,Female,No,2,1,6000
Masters,2012,Pune,3,25,Male,No,3,1,6600
Bachelors,2013,Pune,3,25,Male,No,3,0,5500
Masters,2017,New Delhi,3,26,Female,No,4,1,5500
Bachelors,2015,Pune,2,28,Female,Yes,1,1,6350
Bachelors,2017,New Delhi,3,28,Male,No,2,0,5500
Masters,2015,Pune,1,28,Female,No,3,1,4500
Masters,2015,New Delhi,3,25,Male,No,3,0,5450
Bachelors,2017,Bangalore,3,28,Male,No,1,0,6420
Masters,2013,Pune,3,25,Male,No,3,0,3240
Bachelors,2015,Bangalore,2,25,Female,No,3,1,6615
Bachelors,2015,Bangalore,3,27,Female,No,5,0,6600
Bachelors,2017,Pune,2,27,Female,No,5,1,8372
Bachelors,2013,Bangalore,3,27,Male,No,5,1,4300
Bachelors,2012,Bangalore,3,25,Male,No,3,0,9620
Masters,2017,New Delhi,2,28,Male,No,2,0,6800
Bachelors,2014,Pune,1,26,Female,No,4,1,8000
Bachelors,2015,Bangalore,3,28,Male,No,2,0,6900
Masters,2013,New Delhi,3,26,Male,No,4,0,3700
Bachelors,2017,Bangalore,3,26,Female,No,4,0,6420
Bachelors,2017,New Delhi,2,25,Male,No,3,0,7020
Bachelors,2012,Bangalore,1,28,Female,No,3,0,6540
PHD,2015,New Delhi,3,26,Male,No,4,0,7231
Bachelors,2015,New Delhi,3,25,Female,No,3,0,6254
Bachelors,2012,Bangalore,3,26,Male,No,4,1,7320
Bachelors,2014,Bangalore,3,28,Female,No,3,0,6525
Masters,2014,Pune,3,24,Male,No,2,0,15600
Bachelors,2013,Bangalore,3,28,Male,No,1,0,7160
Bachelors,2015,Pune,3,27,Male,No,5,0,6500
Bachelors,2018,Bangalore,3,25,Male,No,3,1,5500
Masters,2013,Pune,1,24,Male,No,2,1,11460
Bachelors,2017,Bangalore,3,26,Female,No,4,0,4800
